Gene,Diverse_LOF,Nfe_43k_LOF,Nfe_440k_LOF,All_LOF,afr_LOF,asj_LOF,eas_LOF,sas_LOF,nfe_20k_LOF,possible_lof,mu_mis,mu_syn,mu_lof,total_var,LOF_FDR_Diverse43k,LOF_FDR_NFE43k,LOF_FDR_NFE440k,LOF_FDR_FullDataset,LOF_FDR_AFR,LOF_FDR_ASJ,LOF_FDR_EAS,LOF_FDR_SAS,LOF_FDR_NFE20k
MDGA2,13,8,46,55,5,1,2,6,4,453,2.11E-05,7.20E-06,2.09E-06,1036,0.087952971,0.054124905,0.311218203,0.372108721,0.033828066,0.006765613,0.013531226,0.040593679,0.027062452
MDGA2,13,8,46,55,5,1,2,6,4,627,2.95E-05,9.84E-06,2.81E-06,1036,0.090673024,0.055798784,0.320843009,0.383616641,0.03487424,0.006974848,0.013949696,0.041849088,0.027899392
MDH1,9,9,44,45,1,0,0,0,8,211,9.24E-06,3.43E-06,8.77E-07,328,0.203597743,0.203597743,0.995366741,1.017988713,0.022621971,0,0,0,0.180975771
MDH1B,18,20,60,68,5,1,0,6,8,334,1.47E-05,5.60E-06,1.34E-06,541,0.257839335,0.28648815,0.859464449,0.974059709,0.071622037,0.014324407,0,0.085946445,0.11459526
MDH2,8,6,30,34,5,0,0,0,4,176,1.25E-05,6.66E-06,6.88E-07,423,0.252679577,0.189509683,0.947548416,1.073888204,0.157924736,0,0,0,0.126339789
MDK,84,55,132,152,49,13,18,34,45,85,3.80E-06,1.58E-06,3.13E-07,383,1.894297479,1.240313826,2.976753182,3.427776391,1.105006863,0.293165086,0.405920888,0.766739456,1.014802221
MDM1,39,23,82,97,13,0,0,12,20,473,1.89E-05,6.75E-06,2.01E-06,764,0.340910882,0.201050007,0.716786982,0.847906552,0.113636961,0,0,0.104895656,0.174826093
MDM2,5,3,17,19,1,0,0,2,2,359,1.19E-05,4.24E-06,1.48E-06,315,0.092582112,0.055549267,0.314779179,0.351812024,0.018516422,0,0,0.037032845,0.037032845
MDM4,4,2,4,7,0,0,1,2,1,326,1.27E-05,4.93E-06,1.39E-06,386,0.068535306,0.034267653,0.068535306,0.119936786,0,0,0.017133827,0.034267653,0.017133827
MDN1,52,51,270,290,10,2,4,13,25,3502,0.00016193,5.95E-05,1.60E-05,4970,0.074882779,0.073442725,0.388814428,0.417615497,0.014400534,0.002880107,0.005760214,0.018720695,0.036001336
MDP1,15,4,24,34,7,1,4,4,3,106,4.77E-06,1.87E-06,4.58E-07,179,0.623761699,0.166336453,0.998018718,1.413859851,0.291088793,0.041584113,0.166336453,0.166336453,0.12475234
ME1,31,24,69,79,8,2,2,11,16,363,1.50E-05,5.05E-06,1.37E-06,626,0.371482747,0.287599546,0.826848695,0.946681839,0.095866515,0.023966629,0.023966629,0.131816459,0.191733031
ME2,27,18,66,76,5,0,4,5,15,392,1.57E-05,5.12E-06,2.19E-06,507,0.27879062,0.185860414,0.681488183,0.784743969,0.051627893,0,0.041302314,0.051627893,0.154883678
ME3,27,15,56,63,4,0,1,6,20,329,2.12E-05,9.84E-06,1.77E-06,690,0.342929975,0.190516653,0.71126217,0.800169941,0.050804441,0,0.01270111,0.076206661,0.254022203
MEA1,11,6,27,31,2,0,1,2,7,98,5.17E-06,1.96E-06,4.29E-07,240,0.384386562,0.209665397,0.943494288,1.08327122,0.069888466,0,0.034944233,0.069888466,0.24460963
MEAF6,9,6,31,33,2,1,0,0,6,155,6.04E-06,1.94E-06,8.25E-07,202,0.236060938,0.157373959,0.813098786,0.865556773,0.052457986,0.026228993,0,0,0.157373959
MECOM,4,3,16,18,2,0,0,0,2,626,3.16E-05,1.31E-05,2.16E-06,1040,0.039236043,0.029427032,0.156944173,0.176562194,0.019618022,0,0,0,0.019618022
MECP2,11,17,63,63,4,1,2,5,9,209,2.08E-05,9.08E-06,1.11E-06,749,0.189869982,0.293435426,1.087437168,1.087437168,0.06904363,0.017260907,0.034521815,0.086304537,0.155348167
MECR,19,12,40,49,4,1,0,7,8,211,1.20E-05,5.15E-06,1.17E-06,463,0.307758612,0.19437386,0.647912867,0.793693262,0.064791287,0.016197822,0,0.113384752,0.129582573
MED1,3,11,30,33,2,1,0,0,0,724,4.20E-05,1.67E-05,2.87E-06,1218,0.024828015,0.091036057,0.248280154,0.27310817,0.01655201,0.008276005,0,0,0
MED10,2,6,11,12,1,0,0,0,1,83,3.82E-06,1.44E-06,3.65E-07,128,0.115580579,0.346741736,0.635693183,0.693483472,0.057790289,0,0,0,0.057790289
MED11,8,3,19,25,2,0,3,2,1,62,3.37E-06,1.37E-06,3.35E-07,170,0.342942505,0.128603439,0.81448845,1.071695329,0.085735626,0,0.128603439,0.085735626,0.042867813
MED12,6,3,8,11,1,0,1,2,2,1318,7.42E-05,2.69E-05,6.76E-06,1015,0.045214049,0.022607025,0.060285399,0.082892423,0.007535675,0,0.007535675,0.01507135,0.01507135
MED12L,6,9,47,50,1,0,0,2,3,1383,6.45E-05,2.68E-05,6.84E-06,1822,0.022860265,0.034290397,0.179072073,0.190502205,0.003810044,0,0,0.007620088,0.011430132
MED13,3,1,15,15,1,0,0,1,2,1257,5.56E-05,1.91E-05,4.92E-06,1765,0.013167883,0.004389294,0.065839414,0.065839414,0.004389294,0,0,0.004389294,0.008778589
MED13L,4,3,16,18,3,0,0,2,1,1150,6.86E-05,2.77E-05,5.09E-06,1718,0.021908508,0.016431381,0.087634032,0.098588286,0.016431381,0,0,0.010954254,0.005477127
MED14,2,0,5,6,0,0,0,1,1,875,3.98E-05,1.34E-05,4.30E-06,691,0.01880953,0,0.047023825,0.05642859,0,0,0,0.009404765,0.009404765
MED15,21,21,63,68,12,3,2,10,11,480,2.84E-05,1.36E-05,2.81E-06,862,0.18596663,0.18596663,0.55789989,0.602177659,0.106266646,0.026566661,0.017711108,0.088555538,0.097411092
MED16,70,60,204,219,34,6,7,23,40,383,4.22E-05,2.23E-05,1.59E-06,1988,0.670741084,0.574920929,1.954731158,2.098461391,0.325788526,0.057492093,0.067074108,0.220386356,0.383280619
MED17,22,16,65,73,3,1,0,7,12,395,1.72E-05,6.13E-06,2.08E-06,691,0.190613946,0.138628325,0.563177568,0.632491731,0.025992811,0.00866427,0,0.060649892,0.103971243
MED18,5,4,11,12,2,1,0,0,2,69,7.37E-06,2.28E-06,4.58E-07,199,0.26032409,0.208259272,0.572712998,0.624777816,0.104129636,0.052064818,0,0,0.104129636
MED19,4,4,12,14,3,2,1,1,1,74,5.57E-06,2.01E-06,2.11E-07,297,0.228524923,0.228524923,0.68557477,0.799837232,0.171393693,0.114262462,0.057131231,0.057131231,0.057131231
MED20,6,4,19,24,2,0,0,3,1,100,7.43E-06,3.28E-06,3.47E-07,206,0.429246612,0.286164408,1.359280938,1.716986448,0.143082204,0,0,0.214623306,0.071541102
MED21,9,7,28,31,2,0,2,1,4,81,3.46E-06,1.29E-06,5.11E-07,237,0.194586159,0.15134479,0.605379162,0.670241215,0.043241369,0,0.043241369,0.021620684,0.086482737
MED22,15,10,34,42,4,0,2,4,5,96,8.17E-06,4.82E-06,8.82E-07,258,0.438470136,0.292313424,0.993865642,1.227716381,0.11692537,0,0.058462685,0.11692537,0.146156712
MED23,25,24,115,125,5,0,1,5,14,862,3.71E-05,1.32E-05,4.04E-06,1020,0.160195241,0.153787432,0.736898109,0.800976206,0.032039048,0,0.00640781,0.032039048,0.089709335
MED24,27,19,83,90,2,1,1,5,19,576,3.56E-05,1.57E-05,2.55E-06,1064,0.251875763,0.177245907,0.774284752,0.839585876,0.018657464,0.009328732,0.009328732,0.04664366,0.177245907
MED25,28,17,79,91,7,0,1,13,12,403,2.88E-05,1.45E-05,2.01E-06,873,0.339676989,0.206232458,0.958374363,1.103950215,0.084919247,0,0.012131321,0.157707174,0.145575853
MED26,3,5,14,15,1,1,0,1,2,197,2.82E-05,1.37E-05,1.21E-06,758,0.064996084,0.108326806,0.303315057,0.324980419,0.021665361,0.021665361,0,0.021665361,0.043330722
MED27,15,8,33,42,3,1,2,4,5,190,9.71E-06,3.81E-06,8.60E-07,313,0.382719702,0.204117174,0.841983345,1.071615166,0.07654394,0.025514647,0.051029294,0.102058587,0.127573234
MED28,11,6,31,34,2,0,2,2,5,101,4.91E-06,2.27E-06,4.65E-07,234,0.369527039,0.201560203,1.041394382,1.142174483,0.067186734,0,0.067186734,0.067186734,0.167966836
MED29,4,6,20,22,2,0,0,0,2,108,6.41E-06,3.08E-06,4.31E-07,290,0.148726155,0.223089233,0.743630776,0.817993854,0.074363078,0,0,0,0.074363078
MED30,4,3,10,12,1,0,0,1,2,101,5.01E-06,1.70E-06,5.64E-07,177,0.142124401,0.106593301,0.355311003,0.426373204,0.0355311,0,0,0.0355311,0.071062201
MED31,5,7,16,17,1,1,0,2,4,103,3.96E-06,1.25E-06,5.43E-07,125,0.210450043,0.294630061,0.673440139,0.715530148,0.042090009,0.042090009,0,0.084180017,0.168360035
MED4,7,5,29,31,4,1,0,0,2,185,6.41E-06,2.50E-06,7.28E-07,259,0.174145087,0.124389348,0.721458217,0.771213956,0.099511478,0.02487787,0,0,0.049755739
MED6,14,7,29,37,6,1,0,3,4,190,6.28E-06,1.81E-06,7.36E-07,213,0.386458431,0.193229216,0.800521036,1.021354426,0.165625042,0.027604174,0,0.082812521,0.110416695
MED7,2,4,13,13,0,0,0,0,2,90,6.76E-06,2.04E-06,6.44E-07,207,0.068316751,0.136633502,0.444058882,0.444058882,0,0,0,0,0.068316751
MED8,9,11,32,36,2,0,0,2,5,181,9.06E-06,3.09E-06,8.79E-07,245,0.262364673,0.320667934,0.93285217,1.049458692,0.058303261,0,0,0.058303261,0.145758152
MED9,4,4,16,17,1,0,0,1,3,53,4.58E-06,2.11E-06,2.21E-07,172,0.33559449,0.33559449,1.342377962,1.426276584,0.083898623,0,0,0.083898623,0.251695868
MEDAG,13,14,38,44,2,0,1,8,4,153,7.58E-06,2.89E-06,7.10E-07,354,0.277420344,0.29876037,0.810921005,0.938961163,0.042680053,0,0.021340026,0.170720212,0.085360106
MEF2A,9,7,37,39,6,0,1,1,4,257,1.46E-05,6.05E-06,1.15E-06,506,0.159806555,0.124293987,0.656982505,0.692495073,0.106537704,0,0.017756284,0.017756284,0.071025136
MEF2B,2,5,26,27,0,0,1,0,1,157,1.31E-05,5.71E-06,9.37E-07,370,0.053574267,0.133935669,0.696465476,0.72325261,0,0,0.026787134,0,0.026787134
MEF2C,5,4,14,16,0,0,0,3,3,260,1.65E-05,7.57E-06,1.25E-06,284,0.169124385,0.135299508,0.473548278,0.541198032,0,0,0,0.101474631,0.101474631
MEF2D,5,4,21,21,2,0,0,1,2,256,2.00E-05,9.36E-06,1.33E-06,539,0.10013103,0.080104824,0.420550325,0.420550325,0.040052412,0,0,0.020026206,0.040052412
MEFV,25,23,83,93,3,1,3,5,13,374,2.88E-05,1.36E-05,1.49E-06,1205,0.282652568,0.260040362,0.938406524,1.051467551,0.033918308,0.011306103,0.033918308,0.056530514,0.146979335
MEGF10,14,16,79,82,2,1,1,6,7,766,3.94E-05,1.62E-05,3.44E-06,1146,0.099774089,0.11402753,0.563010929,0.584391091,0.014253441,0.007126721,0.007126721,0.042760324,0.049887044
MEGF11,51,36,130,151,16,0,3,13,26,633,3.30E-05,1.47E-05,2.87E-06,1328,0.322245739,0.227467581,0.821410708,0.95410013,0.101096703,0,0.018955632,0.082141071,0.164282142
MEGF6,78,48,167,206,24,4,6,23,33,947,6.51E-05,3.37E-05,4.80E-06,2253,0.351243274,0.216149707,0.752020856,0.927642493,0.108074854,0.018012476,0.027018713,0.103571735,0.148602924
MEGF8,29,32,172,179,5,1,2,7,15,1306,0.00011518,5.10E-05,6.93E-06,3129,0.108123861,0.119309088,0.641286347,0.66738521,0.018642045,0.003728409,0.007456818,0.026098863,0.055926135
MEGF9,3,4,11,11,0,0,0,0,3,254,1.36E-05,5.76E-06,8.43E-07,590,0.056847892,0.075797189,0.208442271,0.208442271,0,0,0,0,0.056847892
MEI1,36,25,120,135,10,1,2,9,19,758,3.49E-05,1.48E-05,3.22E-06,1306,0.216650629,0.150451825,0.722168762,0.812439857,0.06018073,0.006018073,0.012036146,0.054162657,0.114343387
MEI4,10,12,39,45,4,1,0,3,3,NA,NA,NA,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEIG1,5,3,10,11,0,0,1,1,3,59,2.69E-06,8.48E-07,1.99E-07,103,0.431622501,0.258973501,0.863245003,0.949569503,0,0,0.0863245,0.0863245,0.258973501
MEIOB,21,13,52,58,5,0,2,9,11,299,1.07E-05,3.63E-06,1.14E-06,443,0.311169415,0.192628685,0.770514742,0.859420289,0.074087956,0,0.029635182,0.133358321,0.162993503
MEIOC,9,7,30,32,3,0,0,2,5,NA,NA,NA,NA,723,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEIS1,4,2,16,18,1,0,2,2,0,269,1.13E-05,4.26E-06,1.02E-06,449,0.069650923,0.034825461,0.278603692,0.313429153,0.017412731,0,0.034825461,0.034825461,0
MEIS2,3,1,18,19,0,0,0,2,1,284,1.45E-05,6.57E-06,1.26E-06,406,0.062215885,0.020738628,0.373295307,0.394033935,0,0,0,0.041477256,0.020738628
MEIS3,27,18,60,70,9,2,4,11,12,260,1.38E-05,6.43E-06,1.40E-06,664,0.302462853,0.201641902,0.672139674,0.784162953,0.100820951,0.022404656,0.044809312,0.123225607,0.134427935
MELK,18,19,65,73,4,0,1,6,9,482,1.73E-05,5.74E-06,1.60E-06,594,0.223805324,0.236238954,0.808185894,0.907654927,0.049734517,0,0.012433629,0.074601775,0.111902662
MELTF,39,33,106,118,13,0,3,9,20,NA,NA,NA,NA,1118,NA,NA,NA,NA,NA,NA,NA,NA,NA
MELTF-AS1,1,0,2,2,0,0,1,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEMO1,3,2,11,12,1,2,0,1,2,222,8.44E-06,3.01E-06,1.11E-06,250,0.067084182,0.044722788,0.245975335,0.268336729,0.022361394,0.044722788,0,0.022361394,0.044722788
MEN1,0,1,15,15,0,0,0,0,0,290,2.41E-05,1.06E-05,1.47E-06,522,0,0.021957228,0.329358425,0.329358425,0,0,0,0,0
MEOX1,9,7,24,26,2,0,0,2,7,105,8.66E-06,3.86E-06,6.71E-07,284,0.29445412,0.229019871,0.785210988,0.850645237,0.065434249,0,0,0.065434249,0.229019871
MEOX2,5,2,17,18,3,0,2,2,2,128,8.26E-06,3.68E-06,6.10E-07,381,0.127288583,0.050915433,0.432781182,0.458238898,0.07637315,0,0.050915433,0.050915433,0.050915433
MEP1A,20,16,66,74,5,0,2,5,11,432,2.21E-05,9.80E-06,1.85E-06,841,0.205605166,0.164484132,0.678497046,0.760739113,0.051401291,0,0.020560517,0.051401291,0.113082841
MEP1B,40,19,68,85,16,1,5,6,17,426,1.95E-05,6.56E-06,2.02E-06,635,0.424458208,0.201617649,0.721578953,0.901973692,0.169783283,0.010611455,0.053057276,0.063668731,0.180394738
MEPCE,4,0,13,15,1,1,0,0,2,239,2.26E-05,8.69E-06,1.47E-06,802,0.052361135,0,0.170173688,0.196354255,0.013090284,0.013090284,0,0,0.026180567
MEPE,23,12,52,64,9,1,0,8,7,81,1.32E-05,4.88E-06,3.82E-07,610,0.830124632,0.433108504,1.876803517,2.309912021,0.324831378,0.036092375,0,0.288739003,0.252646627
MERTK,32,22,90,109,7,0,6,11,12,526,3.16E-05,1.37E-05,2.72E-06,1013,0.265236658,0.182350202,0.7459781,0.903462365,0.058020519,0,0.049731873,0.091175101,0.099463747
MESD,6,8,16,18,1,1,0,2,3,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA
MESP1,27,18,47,56,14,3,5,11,16,55,3.91E-06,1.92E-06,1.28E-07,509,1.126315954,0.750877303,1.960624069,2.33606272,0.58401568,0.125146217,0.208577029,0.458869463,0.667446491
MESP2,20,16,58,65,7,0,6,10,10,132,1.19E-05,6.56E-06,5.88E-07,620,0.483196698,0.386557358,1.401270423,1.570389268,0.169118844,0,0.144959009,0.241598349,0.241598349
MEST,2,7,27,28,0,0,1,0,1,242,1.10E-05,4.09E-06,1.21E-06,261,0.05030403,0.176064104,0.679104399,0.704256414,0,0,0.025152015,0,0.025152015
MET,8,8,61,61,1,0,0,1,6,742,4.04E-05,1.68E-05,3.78E-06,1227,0.050330768,0.050330768,0.383772104,0.383772104,0.006291346,0,0,0.006291346,0.037748076
METAP1,4,8,37,38,1,0,1,1,3,275,1.03E-05,3.44E-06,1.23E-06,364,0.065459672,0.130919343,0.605501964,0.621866882,0.016364918,0,0.016364918,0.016364918,0.049094754
METAP1D,14,10,33,40,4,2,0,6,4,211,9.53E-06,3.93E-06,7.51E-07,345,0.363556031,0.25968288,0.856953503,1.038731518,0.103873152,0.051936576,0,0.155809728,0.103873152
METAP2,4,10,32,33,2,0,1,1,2,338,1.30E-05,4.36E-06,1.44E-06,362,0.070412689,0.176031723,0.563301515,0.580904687,0.035206345,0,0.017603172,0.017603172,0.035206345
METRN,35,27,58,67,12,3,6,10,19,83,6.90E-06,3.31E-06,2.04E-07,589,1.383286467,1.067106703,2.292303288,2.648005522,0.474269646,0.118567411,0.237134823,0.395224705,0.750926939
METRNL,6,6,21,23,3,1,0,0,3,111,1.35E-05,6.85E-06,4.39E-07,446,0.289836358,0.289836358,1.014427253,1.111039373,0.144918179,0.04830606,0,0,0.144918179
METTL1,12,10,30,33,8,0,0,3,5,146,9.60E-06,3.74E-06,4.90E-07,313,0.502035557,0.418362964,1.255088892,1.380597781,0.334690371,0,0,0.125508889,0.209181482
METTL11B,7,5,17,21,1,0,1,2,3,121,7.73E-06,3.04E-06,4.83E-07,302,0.252824657,0.180589041,0.614002738,0.75847397,0.036117808,0,0.036117808,0.072235616,0.108353424
METTL13,17,15,60,67,3,0,2,5,9,315,2.39E-05,9.02E-06,1.92E-06,762,0.192486523,0.169841049,0.679364198,0.758623354,0.03396821,0,0.022645473,0.056613683,0.10190463
METTL14,12,6,30,34,5,0,2,2,5,321,1.24E-05,4.01E-06,1.73E-06,287,0.21740334,0.10870167,0.54350835,0.61597613,0.090584725,0,0.03623389,0.03623389,0.090584725
METTL15,21,16,55,66,7,0,2,8,8,221,1.18E-05,3.98E-06,1.02E-06,519,0.320144398,0.243919541,0.838473423,1.006168108,0.106714799,0,0.030489943,0.121959771,0.121959771
METTL16,4,1,17,20,0,0,0,3,1,333,1.77E-05,7.98E-06,1.76E-06,400,0.074814878,0.018703719,0.317963231,0.37407439,0,0,0,0.056111158,0.018703719
METTL17,25,14,61,69,9,2,2,6,14,310,1.52E-05,5.33E-06,1.30E-06,570,0.352217602,0.197241857,0.85941095,0.972120582,0.126798337,0.028177408,0.028177408,0.084532225,0.197241857
METTL18,10,11,32,35,1,0,2,0,7,169,7.74E-06,2.75E-06,5.14E-07,341,0.295253048,0.324778353,0.944809753,1.033385668,0.029525305,0,0.05905061,0,0.206677134
METTL21A,11,9,29,33,5,0,2,2,5,91,6.41E-06,2.75E-06,5.18E-07,246,0.396157399,0.324128781,1.044414961,1.188472197,0.180071545,0,0.072028618,0.072028618,0.180071545
METTL21C,11,6,29,34,5,0,3,3,2,144,7.38E-06,3.57E-06,4.93E-07,265,0.451174402,0.246095128,1.189459788,1.394539061,0.205079274,0,0.123047564,0.123047564,0.082031709
METTL22,41,32,119,133,11,2,5,14,17,214,1.48E-05,7.85E-06,1.40E-06,747,0.449316622,0.350686144,1.304114099,1.457539287,0.120548362,0.021917884,0.05479471,0.153425188,0.186302014
METTL23,25,12,41,54,8,0,2,9,10,108,4.23E-06,1.41E-06,3.83E-07,259,0.728397391,0.349630748,1.194571721,1.573338364,0.233087165,0,0.058271791,0.262223061,0.291358956
METTL24,16,5,40,50,7,0,1,6,4,159,7.98E-06,2.64E-06,5.13E-07,460,0.354785952,0.11087061,0.88696488,1.1087061,0.155218854,0,0.022174122,0.133044732,0.088696488
METTL25,21,10,58,68,8,0,2,6,7,404,1.47E-05,5.19E-06,1.59E-06,651,0.211819017,0.100866198,0.585023951,0.685890149,0.080692959,0,0.02017324,0.060519719,0.070606339
METTL26,29,27,68,75,4,1,1,8,17,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA
METTL27,14,10,26,31,8,2,6,5,8,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA
METTL2A,15,12,50,56,7,1,0,5,4,239,1.03E-05,4.07E-06,1.15E-06,335,0.293370158,0.234696126,0.977900526,1.095248589,0.136906074,0.019558011,0,0.097790053,0.078232042
METTL2B,16,5,32,38,5,0,3,6,4,236,1.02E-05,3.84E-06,1.04E-06,280,0.400221583,0.125069245,0.800443166,0.95052626,0.125069245,0,0.075041547,0.150083094,0.100055396
METTL3,19,10,51,59,4,1,1,8,5,316,1.80E-05,5.93E-06,1.80E-06,443,0.296755351,0.156187027,0.796553836,0.921503457,0.062474811,0.015618703,0.015618703,0.124949621,0.078093513
METTL4,18,14,42,48,6,0,1,5,10,288,1.16E-05,3.88E-06,1.34E-06,457,0.241680886,0.187974023,0.563922068,0.644482363,0.080560295,0,0.013426716,0.06713358,0.134267159
METTL5,12,4,29,36,4,0,2,2,4,158,5.23E-06,1.84E-06,5.42E-07,262,0.311668979,0.10388966,0.753200033,0.935006938,0.10388966,0,0.05194483,0.05194483,0.10388966
METTL6,19,11,34,40,7,0,1,6,10,179,6.76E-06,2.78E-06,6.24E-07,355,0.41730603,0.241598228,0.746758158,0.87853901,0.153744327,0,0.021963475,0.131780851,0.219634752
METTL7A,11,8,23,28,5,0,2,1,4,93,6.76E-06,2.66E-06,4.21E-07,233,0.517043345,0.376031524,1.08109063,1.316110333,0.235019702,0,0.094007881,0.04700394,0.188015762
METTL7B,5,8,27,27,2,0,1,0,3,88,7.04E-06,2.85E-06,3.38E-07,296,0.236387686,0.378220298,1.276493504,1.276493504,0.094555074,0,0.047277537,0,0.141832612
METTL8,18,16,46,48,7,1,1,3,12,258,9.33E-06,2.84E-06,9.94E-07,377,0.307544646,0.273373019,0.785947428,0.820119056,0.119600696,0.017085814,0.017085814,0.051257441,0.205029764
METTL9,11,11,34,37,2,1,1,1,7,181,7.51E-06,3.16E-06,5.98E-07,292,0.336137583,0.336137583,1.038970711,1.130644597,0.061115924,0.030557962,0.030557962,0.030557962,0.213905735
MEX3A,7,1,23,28,0,0,1,4,2,141,2.06E-05,1.00E-05,5.98E-07,556,0.299087246,0.042726749,0.982715237,1.196348984,0,0,0.042726749,0.170906998,0.085453499
MEX3B,27,27,110,116,7,4,1,12,16,129,2.04E-05,1.05E-05,4.70E-07,998,0.816648789,0.816648789,3.327087659,3.508565167,0.21172376,0.120985006,0.030246251,0.362955017,0.483940023
MEX3C,13,9,48,53,7,1,2,5,5,190,1.65E-05,6.55E-06,9.67E-07,814,0.184782647,0.127926448,0.682274388,0.753344637,0.099498348,0.01421405,0.0284281,0.071070249,0.071070249
MEX3D,11,10,52,59,1,2,1,4,4,112,2.01E-05,1.30E-05,4.89E-07,1248,0.274181571,0.249255973,1.296131061,1.470610242,0.024925597,0.049851195,0.024925597,0.099702389,0.099702389
MFAP1,3,6,23,23,0,0,0,0,3,310,1.65E-05,4.04E-06,2.31E-06,315,0.047235248,0.094470496,0.362136901,0.362136901,0,0,0,0,0.047235248
MFAP2,2,3,17,18,0,0,0,1,1,149,7.06E-06,3.00E-06,6.78E-07,172,0.088294546,0.132441819,0.750503643,0.794650916,0,0,0,0.044147273,0.044147273
MFAP3,5,5,20,21,0,2,0,1,2,131,1.09E-05,3.52E-06,5.82E-07,304,0.197366851,0.197366851,0.789467403,0.828940773,0,0.07894674,0,0.03947337,0.07894674
MFAP3L,5,7,23,25,1,0,0,2,2,137,1.45E-05,7.69E-06,6.36E-07,385,0.214202495,0.299883493,0.985331476,1.071012474,0.042840499,0,0,0.085680998,0.085680998
MFAP4,7,4,28,32,2,1,0,5,2,147,1.00E-05,4.78E-06,6.32E-07,327,0.244200325,0.139543043,0.976801299,1.116344341,0.069771521,0.034885761,0,0.174428803,0.069771521
MFAP5,12,5,23,28,3,0,1,4,5,147,6.19E-06,1.90E-06,7.91E-07,196,0.339281331,0.141367221,0.650289217,0.791656438,0.084820333,0,0.028273444,0.113093777,0.141367221
MFF,28,28,50,54,22,15,6,24,17,214,1.21E-05,3.99E-06,1.32E-06,383,0.469119539,0.469119539,0.837713463,0.90473054,0.368593924,0.251314039,0.100525616,0.402102462,0.284822577
MFGE8,13,12,45,50,3,0,1,4,6,209,1.50E-05,6.91E-06,9.19E-07,487,0.309024535,0.285253417,1.069700314,1.188555904,0.071313354,0,0.023771118,0.095084472,0.142626709
MFHAS1,15,13,68,72,3,0,0,1,11,338,3.67E-05,1.78E-05,2.02E-06,1662,0.117240088,0.101608076,0.531488399,0.562752422,0.023448018,0,0,0.007816006,0.085976064
MFN1,16,6,69,73,3,1,0,4,9,493,1.87E-05,6.76E-06,2.02E-06,684,0.154328421,0.057873158,0.665541317,0.704123423,0.028936579,0.009645526,0,0.038582105,0.086809737
MFN2,10,4,44,51,4,1,2,1,2,421,2.74E-05,1.03E-05,2.06E-06,666,0.137447184,0.054978874,0.60476761,0.700980638,0.054978874,0.013744718,0.027489437,0.013744718,0.027489437
MFNG,23,11,46,52,5,1,2,5,13,153,1.23E-05,5.38E-06,5.95E-07,387,0.844504644,0.403893525,1.689009288,1.909314847,0.183587966,0.036717593,0.073435186,0.183587966,0.477328712
MFRP,25,28,80,90,7,1,3,14,11,309,1.81E-05,7.65E-06,1.45E-06,775,0.286922615,0.321353329,0.918152368,1.032921414,0.080338332,0.011476905,0.034430714,0.160676664,0.126245951
MFSD1,26,19,63,74,7,1,4,6,11,341,1.32E-05,5.14E-06,1.54E-06,611,0.267449197,0.195443644,0.648049977,0.761201561,0.072005553,0.010286508,0.04114603,0.061719045,0.113151583
MFSD10,33,21,90,100,5,0,4,8,18,210,1.94E-05,9.25E-06,9.02E-07,763,0.654044995,0.416210451,1.783759076,1.981954529,0.099097726,0,0.079278181,0.158556362,0.356751815
MFSD11,21,17,47,60,9,1,1,6,6,278,1.24E-05,4.85E-06,1.04E-06,437,0.40081954,0.324472961,0.897072304,1.145198685,0.171779803,0.019086645,0.019086645,0.114519869,0.114519869
MFSD12,40,45,138,145,11,3,2,10,27,256,1.97E-05,1.06E-05,1.33E-06,1136,0.391611586,0.440563034,1.35105997,1.419591998,0.107693186,0.029370869,0.019580579,0.097902896,0.26433782
MFSD13A,23,10,47,58,10,0,1,3,10,NA,NA,NA,NA,583,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFSD14A,6,7,39,41,1,0,0,2,4,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFSD14B,7,8,53,55,1,2,0,1,4,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFSD14C,5,4,13,15,1,0,0,2,2,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFSD2A,9,5,26,32,1,0,4,3,2,326,1.78E-05,7.66E-06,1.43E-06,446,0.180296508,0.100164727,0.520856579,0.641054251,0.020032945,0,0.080131781,0.060098836,0.040065891
MFSD2B,22,12,43,53,5,1,3,3,12,255,1.66E-05,8.90E-06,1.03E-06,577,0.45867007,0.250183674,0.8964915,1.104977895,0.104243198,0.02084864,0.062545919,0.062545919,0.250183674
MFSD3,28,12,48,62,12,2,5,3,8,128,1.02E-05,5.97E-06,4.93E-07,698,0.6258358,0.268215343,1.072861372,1.385779272,0.268215343,0.044702557,0.111756393,0.067053836,0.178810229
MFSD4A,9,7,38,45,3,0,0,5,1,NA,NA,NA,NA,533,NA,NA,NA,NA,NA,NA,NA,NA,NA
